id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
310,Darksiders II,2015,Action-Adventure,Nordic Games,0.10,0.10,0.00,0.04,0.24
311,Jikkyou Powerful Pro Baseball 2016,2016,Sports,Konami Digital Entertainment,0.00,0.00,0.24,0.00,0.24
312,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.11,0.09,0.00,0.04,0.24
313,Digimon World: Next Order,2017,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24
314,theHunter: Call of the Wild,2017,Shooter,Astragon,0.19,0.00,0.00,0.04,0.24
315,Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.08,0.00,0.04,0.23
316,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.09,0.00,0.04,0.23
317,Elex,2017,Role-Playing,THQ Nordic,0.03,0.16,0.00,0.04,0.23
318,RIGS: Mechanized Combat League,2016,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23
319,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.08,0.11,0.01,0.04,0.23
320,Dead Island Definitive Collection,2016,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23
321,Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23
322,Singstar Celebration,2017,Music,Sony Interactive Entertainment,0.04,0.15,0.00,0.03,0.23
323,Dead by Daylight,2017,Action,505 Games,0.11,0.06,0.02,0.04,0.22
324,Attack on Titan 2,2018,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22
325,The Wolf Among Us,2014,Adventure,Telltale Games,0.11,0.07,0.00,0.04,0.22
326,Micro Machines: World Series,2017,Racing,Codemasters,0.03,0.16,0.00,0.03,0.22
327,Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22
328,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.06,0.13,0.00,0.03,0.22
329,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0.00,0.04,0.22
330,EVE: Valkyrie,2016,Shooter,Sony Interactive Entertainment,0.11,0.06,0.00,0.04,0.21
331,Senran Kagura: Peach Beach Splash,2017,Action,PQube,0.09,0.02,0.08,0.02,0.21
332,Ys VIII: Lacrimosa of Dana,2017,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21
333,Bound By Flame,2014,Action,Focus Home Interactive,0.08,0.09,0.00,0.04,0.21
334,NBA Live 16,2015,Sports,EA Sports,0.13,0.05,0.00,0.04,0.21
335,7 Days to Die,2016,Action,Telltale Games,0.09,0.08,0.00,0.03,0.21
336,Dynasty Warriors 8: Empires,2014,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21
337,Dragon's Dogma,2017,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21
338,Godzilla (2015),2014,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.20
339,Eagle Flight,2016,Adventure,Ubisoft,0.09,0.08,0.00,0.03,0.20
340,Agents of Mayhem,2017,Action,Deep Silver,0.08,0.08,0.00,0.03,0.20
341,MotoGP 14�,2014,Racing,Milestone S.r.l.,0.05,0.11,0.00,0.03,0.20
342,Elite: Dangerous,2017,Simulation,Frontier Developments,0.06,0.10,0.00,0.03,0.19
343,Singstar: Ultimate Party,2014,Music,Sony Computer Entertainment,0.00,0.16,0.00,0.03,0.19
344,Toukiden Kiwami,2015,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
345,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.09,0.07,0.00,0.03,0.19
346,The Surge,2017,Action,Koch Media,0.07,0.08,0.01,0.03,0.19
347,MotoGP 15,2015,Racing,Milestone S.r.l.,0.00,0.13,0.04,0.02,0.18
348,Resident Evil: Revelations,2017,Action,Capcom,0.06,0.06,0.04,0.02,0.18
349,Senran Kagura: Estival Versus,2015,Action,Marvelous Interactive,0.08,0.00,0.09,0.02,0.18
350,Back to the Future: The Game,2015,Adventure,Telltale Games,0.10,0.05,0.00,0.03,0.18
351,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0.00,0.03,0.17
352,Resident Evil 6,2016,Shooter,Capcom,0.10,0.00,0.05,0.02,0.17
353,Final Fantasy XIV: Heavensward,2015,MMO,Square Enix,0.00,0.09,0.06,0.02,0.17
354,Final Fantasy XIV: Stormblood,2017,MMO,Square Enix,0.05,0.06,0.04,0.02,0.17
355,Guilty Gear Xrd: Sign,2014,Fighting,Arc System Works,0.11,0.00,0.04,0.02,0.17
356,Prototype: Biohazard Bundle,2016,Action,Activision,0.14,0.00,0.00,0.03,0.17
357,BlazBlue Central Fiction,2016,Fighting,PQube,0.10,0.00,0.05,0.02,0.17
358,MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.08,0.00,0.03,0.17
359,Ride 2,2016,Racing,Milestone S.r.l,0.07,0.06,0.01,0.03,0.16
360,Dead Rising 4,2017,Action-Adventure,Capcom,0.08,0.05,0.00,0.03,0.16
361,Putty Squad,2013,Platform,System 3,0.06,0.07,0.00,0.03,0.16
362,Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16
363,Battlezone,2016,Action,Sony Interactive Entertainment,0.09,0.04,0.00,0.03,0.16
364,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.07,0.04,0.03,0.02,0.16
365,Berserk and the Band of the Hawk,2016,Action,Tecmo Koei,0.07,0.02,0.05,0.02,0.16
366,BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.08,0.04,0.02,0.02,0.16
367,Pillars of Eternity,2017,Role-Playing,Paradox Interactive�,0.11,0.02,0.00,0.03,0.16
368,Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0.03,0.07,0.02,0.16
369,Gravity Rush Remastered,2015,Action-Adventure,Sony Computer Entertainment,0.02,0.06,0.05,0.02,0.16
370,Psycho-Pass: Mandatory Happiness,2016,Visual Novel,NIS America,0.10,0.02,0.00,0.03,0.15
371,Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.09,0.00,0.02,0.15
372,Warriors Orochi 3,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
373,Wasteland 2,2015,Role-Playing,Deep Silver,0.10,0.00,0.03,0.02,0.15
374,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.04,0.03,0.07,0.01,0.15
375,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.12,0.00,0.00,0.03,0.15
376,Yakuza: Ishin,2014,Adventure,Sega,0.00,0.00,0.15,0.00,0.15
377,Toukiden 2,2016,Action,Tecmo Koei,0.04,0.00,0.10,0.01,0.15
378,Song of the Deep,2016,Action,Insomniac Games,0.12,0.00,0.00,0.03,0.15
379,Super Robot Wars V,2017,Role-Playing,Namco Bandai Games,0.00,0.00,0.15,0.00,0.15
380,Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Role-Playing,Tecmo Koei,0.07,0.00,0.06,0.02,0.14
381,Yonmegami Online: Cyber Dimension Neptune,2017,Role-Playing,Idea Factory International,0.06,0.00,0.07,0.01,0.14
382,Grand Kingdom,2015,Role-Playing,NIS America,0.08,0.00,0.04,0.02,0.14
383,Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.03,0.04,0.06,0.01,0.14
384,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0.00,0.12,0.00,0.02,0.14
385,Shovel Knight,2015,Platform,Yacht Club Games,0.08,0.04,0.00,0.02,0.14
386,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.07,0.05,0.00,0.02,0.14
387,Guilty Gear Xrd -Revelator-,2016,Fighting,PQube,0.06,0.00,0.07,0.01,0.14
388,We Happy Few,2018,Action-Adventure,Gearbox Software,0.08,0.04,0.00,0.02,0.14
389,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.11,0.00,0.00,0.03,0.14
390,The Crew: Wild Run,2015,Racing,Ubisoft,0.00,0.12,0.00,0.02,0.14
391,MXGP 2,2016,Racing,Milestone S.r.l.,0.05,0.06,0.00,0.02,0.14
392,MotoGP 17,2017,Racing,Koch Media,0.04,0.07,0.00,0.02,0.14
393,Fairy Fencer F: Advent Dark Force,2015,Role-Playing,Idea Factory International,0.06,0.00,0.06,0.01,0.14
394,Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.04,0.02,0.07,0.01,0.13
395,The Golf Club,2014,Sports,Ravenscourt,0.09,0.02,0.00,0.02,0.13
396,Hatsune Miku: Project Diva X,2016,Music,Sega,0.08,0.00,0.04,0.02,0.13
397,NASCAR Heat 2,2017,Racing,505 Games,0.11,0.00,0.00,0.02,0.13
398,Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.05,0.06,0.00,0.02,0.13
399,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.05,0.00,0.02,0.13
400,Golf Club 2,2017,Sports,Maximum Games,0.05,0.06,0.00,0.02,0.13
401,Akiba's Trip 2,2014,Action,Acquire,0.09,0.00,0.02,0.02,0.13
402,Rugby 15,2015,Sports,Bigben Interactive,0.05,0.06,0.00,0.02,0.13
403,Utawarerumono: Futari no Hakuoro,2016,Visual Novel,Atlus,0.05,0.00,0.07,0.01,0.13
404,The Legend of Heroes: Trails of Cold Steel III,2017,Role-Playing,Nihon Falcom Corporation,0.00,0.00,0.13,0.00,0.13
405,Utawarerumono: Itsuwari no Kamen,2015,Adventure,Deep Silver,0.05,0.00,0.07,0.01,0.13
406,The Inpatient,2018,Action,Sony Interactive Entertainment,0.06,0.05,0.00,0.02,0.13
407,Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.00,0.02,0.13
408,Sword Art Online: Hollow Fragment,2015,Role-Playing,Namco Bandai Games,0.00,0.11,0.00,0.02,0.12
409,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.07,0.03,0.00,0.02,0.12
410,Job Simulator,2017,Simulation,Sony Interactive Entertainment,0.10,0.00,0.00,0.02,0.12
411,Portal Knights,2017,Role-Playing,505 Games,0.02,0.05,0.03,0.01,0.12
412,Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12
413,Danganronpa 1o2 Reload,2017,Adventure,NIS America,0.08,0.00,0.02,0.02,0.12
414,God Eater 2: Rage Burst,2015,Role-Playing,Namco Bandai Games,0.00,0.01,0.11,0.00,0.12
415,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.10,0.00,0.00,0.02,0.12
416,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0.00,0.02,0.12
417,Digimon Story: Cyber Sleuth,2016,Role-Playing,Namco Bandai Games,0.00,0.10,0.00,0.02,0.11
418,Constructor HD,2017,Strategy,System 3,0.09,0.00,0.00,0.02,0.11
419,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.09,0.00,0.00,0.02,0.11
420,Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.07,0.02,0.00,0.02,0.11
421,Mighty No. 9,2016,Platform,Deep Silver,0.09,0.00,0.00,0.02,0.11
422,The Invisible Hours,2017,Adventure,GameTrust,0.09,0.00,0.00,0.02,0.11
423,Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0.01,0.00,0.02,0.11
424,The Idolmaster: Platinum Stars,2016,Simulation,Namco Bandai Games,0.00,0.00,0.11,0.00,0.11
425,The Witch and the Hundred Knight,2015,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11
426,SD Gundam G Generation Genesis,2016,Strategy,Namco Bandai Games,0.00,0.00,0.11,0.00,0.11
427,Rime,2017,Adventure,Grey Box,0.02,0.07,0.00,0.02,0.11
428,Super Robot Wars OG: The Moon Dwellers,2016,Misc,Namco Bandai Games,0.00,0.00,0.11,0.00,0.11
429,Gundam Breaker 3,2016,Action,Namco Bandai Games,0.00,0.00,0.11,0.00,0.11
430,Earth Defense Force 2025.1: The Shadow of New Despair,2015,Shooter,D3Publisher,0.00,0.00,0.11,0.00,0.11
431,Shadow Warrior (2013),2014,Shooter,Devolver Digital,0.00,0.09,0.00,0.02,0.11
432,Assassin's Creed Chronicles,2016,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
433,Mega Man Legacy Collection,2016,Platform,Capcom,0.09,0.00,0.00,0.02,0.11
434,Pac-Man Championship Edition 2 + Arcade Game Series,2017,Action,Namco Bandai Games,0.08,0.00,0.00,0.02,0.10
435,Tokyo Xanadu eX+,2016,Role-Playing,Nihon Falcom Corporation,0.05,0.00,0.05,0.01,0.10
436,Stardew Valley,2017,Simulation,505 Games,0.04,0.04,0.00,0.02,0.10
437,Romance of the Three Kingdoms 13,2015,Action,Tecmo Koei,0.03,0.00,0.06,0.01,0.10
438,Musou Stars,2017,Action,Tecmo Koei,0.03,0.00,0.06,0.01,0.10
439,Mega Man Legacy Collection 2,2017,Action,Capcom,0.06,0.00,0.02,0.01,0.10
440,Final Fantasy XIV Online Complete Edition,2017,MMO,Square Enix,0.07,0.00,0.02,0.02,0.10
441,Devil May Cry 4,2015,Action,Capcom,0.01,0.00,0.09,0.00,0.10
442,Puyo Puyo Tetris,2014,Puzzle,Sega,0.05,0.03,0.00,0.02,0.10
443,Natural Doctrine,2014,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.10
444,Sudden Strike 4,2017,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.10
445,Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,Namco Bandai Games,0.00,0.03,0.06,0.01,0.10
446,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.08,0.00,0.00,0.02,0.10
447,Guilty Gear Xrd REV 2,2017,Fighting,PQube,0.04,0.01,0.03,0.01,0.10
449,Let's Sing 2016,2015,Music,Ravenscourt,0.08,0.00,0.00,0.02,0.10
450,Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.07,0.00,0.01,0.02,0.10
451,Nights of Azure 2,2017,Action,Tecmo Koei,0.04,0.00,0.04,0.01,0.09
452,The Technomancer,2016,Role-Playing,Focus Home Interactive,0.04,0.04,0.00,0.02,0.09
453,Nights of Azure,2015,Action,Tecmo Koei,0.04,0.04,0.00,0.02,0.09
454,Taiko no Tatsujin: Drum Session!,2017,Music,Namco Bandai Games,0.00,0.00,0.09,0.00,0.09
455,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Strategy,Tecmo Koei,0.03,0.00,0.06,0.01,0.09
456,Grand Ages: Medieval,2015,Strategy,Kalypso Media,0.00,0.05,0.03,0.01,0.09
457,Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0.00,0.08,0.00,0.01,0.09
458,Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0.00,0.00,0.02,0.09
459,God Eater Resurrection,2015,Action,Namco Bandai Games,0.00,0.00,0.09,0.00,0.09
460,Paragon,2016,Action,Sony Interactive Entertainment,0.07,0.00,0.00,0.02,0.09
461,Summon Night 6: Lost Borders,2016,Role-Playing,Gaijinworks,0.03,0.00,0.05,0.01,0.09
462,Black Rose Valkyrie,2016,Role-Playing,Idea Factory International,0.04,0.00,0.04,0.01,0.09
463,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.07,0.00,0.00,0.02,0.09
464,ATV Drift & Tricks,2017,Racing,Funbox Media,0.07,0.00,0.00,0.02,0.09
465,Yoru no Nai Kuni,2015,Role-Playing,Tecmo Koei,0.00,0.00,0.09,0.00,0.09
466,Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0.00,0.07,0.00,0.01,0.09
468,Ghostbusters (2016),2016,Action,Activision,0.07,0.00,0.00,0.02,0.08
469,Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.05,0.02,0.00,0.02,0.08
470,Shantae: Half-Genie Hero,2016,Platform,Xseed Games,0.06,0.00,0.01,0.01,0.08
471,Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,PQube,0.05,0.02,0.00,0.01,0.08
472,The Sexy Brutale,2017,Adventure,Badland Studio,0.05,0.02,0.00,0.01,0.08
473,Legend of Kay,2015,Action,Nordic Games,0.03,0.03,0.00,0.01,0.08
474,Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.07,0.00,0.00,0.02,0.08
475,Loading Human,2016,Adventure,Maximum Games,0.05,0.02,0.00,0.01,0.08
476,Rapala Fishing Pro Series,2017,Simulation,GameMill,0.06,0.00,0.00,0.02,0.08
477,Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,Tecmo Koei,0.02,0.00,0.05,0.01,0.08
478,Dead Rising,2016,Action,Capcom,0.04,0.00,0.02,0.01,0.08
479,Assetto Corsa,2016,Racing,505 Games,0.00,0.06,0.01,0.01,0.08
480,Akiba's Beat,2016,Action,PQube,0.05,0.00,0.01,0.01,0.08
481,WRC 6,2016,Racing,PQube,0.03,0.02,0.01,0.01,0.08
482,God Wars: Future Past,2017,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07
483,Resident Evil 5 HD,2016,Action,Capcom,0.05,0.00,0.01,0.01,0.07
484,The Witch and the Hundred Knights 2,2017,Role-Playing,Nippon Ichi Software,0.03,0.00,0.03,0.01,0.07
485,Samurai Warriors: Sanada Maru,2016,Action,Tecmo Koei,0.02,0.00,0.05,0.01,0.07
486,Project Setsuna,2016,Role-Playing,Square Enix,0.00,0.00,0.07,0.00,0.07
487,Has-Been Heroes,2017,Action,GameTrust,0.06,0.00,0.00,0.01,0.07
488,Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017,Misc,Square Enix,0.00,0.00,0.07,0.00,0.07
489,Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.06,0.00,0.00,0.01,0.07
490,Dead Rising 2,2016,Action,Capcom,0.04,0.00,0.02,0.01,0.07
491,The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0.00,0.06,0.00,0.01,0.07
492,Touhou Genso Rondo: Bullet Ballet,2016,Shooter,NIS America,0.06,0.00,0.00,0.01,0.07
493,The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.00,0.00,0.01,0.07
494,The Silver Case,2017,Visual Novel,NIS America,0.05,0.00,0.01,0.01,0.07
495,Hunting Simulator,2017,Shooter,Bigben Interactive,0.06,0.00,0.00,0.01,0.07
496,WRC 7,2017,Racing,Bigben Interactive,0.06,0.00,0.00,0.01,0.07
497,Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0.00,0.00,0.07,0.00,0.07
498,Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0.00,0.06,0.00,0.01,0.07
499,City Shrouded in Shadow,2017,Action-Adventure,Namco Bandai Games,0.00,0.00,0.07,0.00,0.07
500,SG/ZH: School Girl/Zombie Hunter,2017,Action,Aksys Games,0.04,0.00,0.02,0.01,0.07
501,Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0.00,0.06,0.00,0.01,0.07
502,Terraria,2014,Action,505 Games,0.00,0.05,0.01,0.01,0.07
503,Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0.03,0.00,0.01,0.07
504,Batman: The Enemy Within,2017,Adventure,Telltale Games,0.05,0.00,0.00,0.01,0.07
505,Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.05,0.00,0.00,0.01,0.07
506,Legend of Kay Anniversary,2015,Action,Nordic Games,0.00,0.06,0.00,0.01,0.07
507,Steins;Gate 0,2015,Adventure,PQube,0.00,0.00,0.07,0.00,0.07
508,ZombiU,2016,Action,Ubisoft,0.00,0.04,0.01,0.01,0.07
509,Risen 3: Titan Lords,2015,Role-Playing,Deep Silver,0.00,0.06,0.00,0.01,0.07
510,Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0.00,0.00,0.01,0.06
511,Dead or Alive Xtreme 3: Fortune,2016,Sports,Tecmo Koei,0.00,0.00,0.06,0.00,0.06
512,Birthdays the Beginning,2017,Misc,NIS America,0.05,0.00,0.00,0.01,0.06
513,Rugby 18,2017,Sports,Koch Media,0.05,0.00,0.00,0.01,0.06
514,The Binding of Isaac,2017,Misc,Nicalis,0.05,0.00,0.00,0.01,0.06
515,Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0.00,0.00,0.01,0.06
516,Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,Tecmo Koei,0.03,0.00,0.03,0.01,0.06
517,MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.00,0.05,0.00,0.01,0.06
518,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0.00,0.00,0.01,0.06
519,Sword Art Online: Game Director's Edition,2015,Role-Playing,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06
520,Deformers,2017,Action,Ready at Dawn,0.05,0.00,0.00,0.01,0.06
521,Nobunaga no Yabou: Souzou,2014,Strategy,Tecmo Koei,0.00,0.00,0.06,0.00,0.06
522,Dragon Quest X: All in One Package,2017,Role-Playing,Square Enix,0.00,0.00,0.06,0.00,0.06
523,Yomawari: Midnight Shadows,2017,Action,NIS America,0.02,0.00,0.04,0.00,0.06
524,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.05,0.00,0.00,0.01,0.06
525,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0.00,0.00,0.01,0.06
526,Outcast: Second Contact,2017,Adventure,Maximum Games,0.05,0.00,0.00,0.01,0.06
527,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.00,0.00,0.01,0.06
528,Handball 16,2015,Sports,Bigben Interactive,0.00,0.05,0.00,0.01,0.06
529,Extinction,2018,Action,Maximum Games,0.05,0.00,0.00,0.01,0.06
530,Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0.00,0.05,0.00,0.01,0.06
531,Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.02,0.00,0.03,0.00,0.06
532,King's Quest: The Complete Collection,2016,Adventure,Activision,0.05,0.00,0.00,0.01,0.06
533,Sine Mora,2017,Action,THQ Nordic,0.03,0.01,0.00,0.01,0.06
534,Aven Colony,2017,Strategy,Sold Out,0.04,0.01,0.00,0.01,0.06
535,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.03,0.02,0.00,0.01,0.06
536,WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0.00,0.05,0.00,0.01,0.06
537,Black Mirror,2017,Adventure,THQ Nordic,0.04,0.00,0.00,0.01,0.05
538,Touhou Genso Wanderer,2017,Action,NIS America,0.04,0.00,0.00,0.01,0.05
539,Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.04,0.00,0.00,0.01,0.05
540,Starblood Arena VR,2017,Shooter,Sony Interactive Entertainment,0.04,0.00,0.00,0.01,0.05
541,Hellblade,2018,Action-Adventure,505 Games,0.03,0.01,0.00,0.01,0.05
542,Bubsy: The Woolies Strike Back,2017,Platform,Accolade,0.04,0.00,0.00,0.01,0.05
543,Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.01,0.01,0.03,0.00,0.05
544,Nobunaga's Ambition: Creation,2014,Strategy,Tecmo Koei,0.04,0.00,0.00,0.01,0.05
545,Child of Light,2014,Role-Playing,Ubisoft,0.00,0.01,0.04,0.00,0.05
546,Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0.00,0.00,0.05,0.00,0.05
547,Saints Row: Gat out of Hell,2015,Action,Deep Silver,0.00,0.04,0.00,0.01,0.05
548,Werewolves Within,2016,Misc,Ubisoft,0.04,0.00,0.00,0.01,0.05
549,Demon Gaze 2,2017,Role-Playing,NIS America,0.04,0.00,0.00,0.01,0.05
550,Real Farm,2017,Simulation,Soedesco,0.04,0.00,0.00,0.01,0.05
551,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0.02,0.00,0.01,0.05
552,Syberia III,2017,Adventure,Microids,0.04,0.00,0.00,0.01,0.05
553,Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0.00,0.00,0.05,0.00,0.05
554,Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0.00,0.00,0.05,0.00,0.05
555,S�bastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0.00,0.04,0.00,0.01,0.05
556,Don't Starve,2018,Adventure,505 Games,0.04,0.00,0.00,0.01,0.05
557,Monster Jam: Crush It,2016,Racing,GameMill,0.04,0.00,0.00,0.01,0.05
558,Prison Architect,2016,Simulation,Introversion Software,0.02,0.02,0.00,0.01,0.05
559,Assault Suit Leynos,2016,Shooter,Rising Star Games,0.04,0.00,0.00,0.01,0.05
560,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.04,0.00,0.00,0.01,0.05
561,Overcooked,2016,Action,Sold Out,0.04,0.00,0.00,0.01,0.05
562,Ben 10 (2017),2017,Action,Outright Games,0.04,0.00,0.00,0.01,0.05
563,Dead Alliance,2017,Shooter,Maximum Games,0.04,0.00,0.00,0.01,0.04
564,Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.04,0.00,0.00,0.01,0.04
565,That's You,2017,Party,Sony Interactive Entertainment,0.04,0.00,0.00,0.01,0.04
566,Raid: World War II,2017,Shooter,505 Games,0.04,0.00,0.00,0.01,0.04
567,Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0.00,0.00,0.04,0.00,0.04
568,Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.03,0.00,0.01,0.01,0.04
569,Rugby Challenge 3,2016,Sports,Alternative Software,0.00,0.04,0.00,0.01,0.04
570,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.03,0.01,0.00,0.01,0.04
571,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.04,0.00,0.00,0.01,0.04
572,The Talos Principle,2015,Puzzle,Nighthawk Interactive,0.00,0.04,0.00,0.01,0.04
573,Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.01,0.00,0.03,0.00,0.04
574,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.04,0.00,0.00,0.01,0.04
575,Pure Farming 2018,2018,Simulation,Techland,0.02,0.01,0.00,0.01,0.04
576,Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.03,0.00,0.00,0.01,0.04
577,Anima - Gate of Memories,2016,Action,Avanquest,0.01,0.02,0.00,0.01,0.04
578,Axiom Verge,2017,Action,Badland Studio,0.03,0.00,0.00,0.01,0.04
579,Unbox: Newbie's Adventure,2017,Action,Merge Games,0.03,0.00,0.00,0.01,0.04
580,Here They Lie,2016,Adventure,Sony Interactive Entertainment,0.00,0.03,0.00,0.01,0.04
581,Under Night In-Birth Exe:Latest,2017,Fighting,Arc System Works,0.01,0.00,0.03,0.00,0.04
582,Aragami,2016,Action,Maximum Games,0.03,0.00,0.00,0.01,0.04
583,Yonder: The Cloud Catcher Chronicles,2017,Action,CokeM Interactive,0.03,0.00,0.00,0.01,0.04
584,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0.00,0.03,0.00,0.01,0.04
585,JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,Namco Bandai Games,0.00,0.00,0.04,0.00,0.04
586,Dungeons 3,2017,Strategy,Kalypso Media,0.03,0.00,0.00,0.01,0.04
