id,game,year,genre,publisher,North America,europe,japan,Rest of World,global
711,The Escapists: The Walking Dead,2016,Action,Team17 Software,0.00,0.00,0.00,0.00,0.01
712,Super Meat Boy,2016,Platform,Team Meat,0.00,0.00,0.00,0.00,0.01
713,Blood Bowl 2,2015,Sports,Focus Home Interactive,0.00,0.00,0.00,0.00,0.00
714,The Witness,2016,Misc,"Thekla, Inc.",0.00,0.00,0.00,0.00,0.00
715,Quantic Dream Collection,2015,Action,Sony Computer Entertainment,0.00,0.00,0.00,0.00,0.00
716,Iwaihime: Matsuri,2017,Adventure,Nippon Ichi Software,0.00,0.00,0.00,0.00,0.00
717,RepKiss,2017,Adventure,Entergram,0.00,0.00,0.00,0.00,0.00
718,War Thunder,2017,Action,DMM Games,0.00,0.00,0.00,0.00,0.00
719,Tsuihou Senkyo,2017,Adventure,Nippon Ichi Software,0.00,0.00,0.00,0.00,0.00
720,Hustle Kings VR,2016,Sports,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
721,Toki Tori 2+,2016,Puzzle,Two Tribes,0.00,0.00,0.00,0.00,0.00
722,Deception IV: The Nightmare Princess,2015,Action,Tecmo Koei,0.00,0.00,0.00,0.00,0.00
723,Kingdom Hearts HD I.5 + II.5 ReMIX,2017,Action,Square Enix,0.00,0.00,0.00,0.00,0.00
724,Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015,Action,Spike Chunsoft,0.00,0.00,0.00,0.00,0.00
726,Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.00,0.00,0.00,0.00,0.00
727,Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0.00,0.00,0.00,0.00,0.00
731,Blacklight: Retribution,2013,Misc,Perfect World Entertainment,0.00,0.00,0.00,0.00,0.00
732,Bladestorm: The Hundred Years' War,2015,Action,BioWare,0.00,0.00,0.00,0.00,0.00
733,Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0.00,0.00,0.00,0.00,0.00
737,DC Universe Online,2013,MMO,Sony Online Entertainment,0.00,0.00,0.00,0.00,0.00
741,Industry Giant II,2017,Strategy,UIG Entertainment,0.00,0.00,0.00,0.00,0.00
743,Kingdom Under Fire II,2014,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
747,Mount & Blade: Warband,2016,Role-Playing,Taleworlds,0.00,0.00,0.00,0.00,0.00
751,Psychonauts,2017,Action,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
752,Resident Evil 5,2016,Action,Capcom,0.00,0.00,0.00,0.00,0.00
756,The Amazing Spider-Man 2,2014,Misc,Activision,0.00,0.00,0.00,0.00,0.00
759,Ether One,2015,Adventure,Soedesco,0.00,0.00,0.00,0.00,0.00
760,Uncharted 2: Among Thieves,2016,Action,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
761,Uncharted 3: Drake's Deception,2016,Action,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
763,Uncharted: Drake's Fortune,2016,Action,Sony Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
765,Awesomenauts,2014,Misc,DTP Entertainment,0.00,0.00,0.00,0.00,0.00
775,Broken Age,2015,Adventure,Nordic Games,0.00,0.00,0.00,0.00,0.00
778,Slender: The Arrival,2015,Adventure,Unknown,0.00,0.00,0.00,0.00,0.00
779,deep down (Working Title),2020,Misc,Capcom,0.00,0.00,0.00,0.00,0.00
782,Human Element,2015,Misc,Unknown,0.00,0.00,0.00,0.00,0.00
783,Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0.00,0.00,0.00,0.00,0.00
784,Cyberpunk 2077,2018,Action-Adventure,CD Projekt Red Studio,0.00,0.00,0.00,0.00,0.00
785,Final Fantasy (PS4),2020,Misc,Square Enix,0.00,0.00,0.00,0.00,0.00
